CATEGORY ,CONTESTANT NAME,CODE,CATEGORYID,CONTESTANTID
VIDEO OF THE YEAR,SHARON RETOE   - ENDA NAMI,14VDY6,14,6
VIDEO OF THE YEAR,MIKE LEBO    - SHUMATA,14VDY7,14,7
VIDEO OF THE YEAR,FLOYD BELIEVER   - MOYO GWANGE,14VDY8,14,8
VIDEO OF THE YEAR,MR. CHAIRMAN 254   - AMEKUA KWAMGU,14VDY9,14,9
VIDEO OF THE YEAR,REV. ANTONY MUSEMBI  - KUONGOZWA,14VDY10,14,10
VIDEO OF THE YEAR,LENNY LION    - ORWA,14VDY11,14,11
VIDEO OF THE YEAR,MERCY SONN    - UTAKUA NAMI,14VDY12,14,12
VIDEO OF THE YEAR,JECINTA KIBUKU   - NINGWENDETE,14VDY13,14,13
VIDEO OF THE YEAR,JAY DONGA       -CHOGIOGIO       ,14VDY14,14,14
NEW ARTIST OF THE YEAR,TRIZAH DAN,15NWY1,15,1
NEW ARTIST OF THE YEAR,HADASSAH,15NWY2,15,2
NEW ARTIST OF THE YEAR,MG DEZNAH,15NWY3,15,3
NEW ARTIST OF THE YEAR,KENNIWAN,15NWY4,15,4
NEW ARTIST OF THE YEAR,ASHTIV,15NWY5,15,5
NEW ARTIST OF THE YEAR,BRIGADIER SHILOH,15NWY6,15,6
NEW ARTIST OF THE YEAR,P.K. HAKEEM,15NWY7,15,7
NEW ARTIST OF THE YEAR,CAROL BETA,15NWY8,15,8
NEW ARTIST OF THE YEAR,JOMBANASTIC,15NWY9,15,9
NEW ARTIST OF THE YEAR,FLORENCE WEKESA,15NWY10,15,10
NEW ARTIST OF THE YEAR,VERONICA ATIENO,15NWY11,15,11
NEW ARTIST OF THE YEAR,SIMPOZZ,15NWY12,15,12
NEW ARTIST OF THE YEAR,AJAS MICHAEL,15NWY13,15,13
NEW ARTIST OF THE YEAR,SAM MANGA,15NWY14,15,14
NEW ARTIST OF THE YEAR,TONY DA BLESSED KID,15NWY15,15,15
NEW ARTIST OF THE YEAR,RESIAN LEPERES,15NWY16,15,16
NEW ARTIST OF THE YEAR,G-BWOY,15NWY17,15,17
NEW ARTIST OF THE YEAR,SUSAN NDUNG’U,15NWY18,15,18
PRAISE AND WORSHIP TEAM OF THE YEAR,AFLEWO NAKURU,16PRWTY1,16,1
PRAISE AND WORSHIP TEAM OF THE YEAR,PACATO WORSHIP TEAM    - JCC NAKURU,16PRWTY2,16,2
PRAISE AND WORSHIP TEAM OF THE YEAR,KSF CHOIR      - KINGDOM SEEKERS,16PRWTY3,16,3
PRAISE AND WORSHIP TEAM OF THE YEAR,ONE ACCORD     - DELIVERANCE LCC,16PRWTY4,16,4
PRAISE AND WORSHIP TEAM OF THE YEAR,INTERNATIONAL VISION CENTRE (IVC)  - ELDORET,16PRWTY5,16,5
PRAISE AND WORSHIP TEAM OF THE YEAR,NAROK BAPTIST PRAISE & WORSHIP  - NAROK,16PRWTY6,16,6
PRAISE AND WORSHIP TEAM OF THE YEAR,FATHERS HEART,16PRWTY7,16,7
DJ OF THE YEAR,DJ MO ANGEL KENYA,17DJY1,17,1
,,,,
,,,,
,,,,
DJ OF THE YEAR,DJ LAU SPIKID,17DJY2,17,2
DJ OF THE YEAR,DJ QUPE,17DJY3,17,3
DJ OF THE YEAR,DJ VINDEKS,17DJY4,17,4
DJ OF THE YEAR,DJ TRIKIDEH,17DJY5,17,5
DJ OF THE YEAR,DJ 2STE,17DJY6,17,6
DJ OF THE YEAR,DJ STAN,17DJY7,17,7
DJ OF THE YEAR,DJ WORSHIP,17DJY8,17,8
DJ OF THE YEAR,DJ TIU,17DJY9,17,9
MC OF THE YEAR,MC ALEX MBURU NJOROGE (TOCHI YA MAWE),18MC1,18,1
MC OF THE YEAR,MC WAYNE,18MC2,18,2
MC OF THE YEAR,MC TOTO MOSE,18MC3,18,3
MC OF THE YEAR,MC DTO,18MC4,18,4
MC OF THE YEAR,MC ERICK MUNTET,18MC5,18,5
MC OF THE YEAR,MC KIPTABUT,18MC6,18,6
MC OF THE YEAR,MC EVANS KENYA,18MC7,18,7
MC OF THE YEAR,MC CIDDY,18MC8,18,8
CHOIR OF THE YEAR,ALMASI VOICES,19CHRY1,19,1
CHOIR OF THE YEAR,ST. JOSEPH THE WORKER CATHOLIC CHURCH -RACECOURSE,19CHRY2,19,2
CHOIR OF THE YEAR,ELIMU SDA YOUTH CHOIR,19CHRY3,19,3
CHOIR OF THE YEAR,AIC BONDENI,19CHRY4,19,4
CHOIR OF THE YEAR,SDA NAKURU CENTRAL,19CHRY5,19,5
CHOIR OF THE YEAR,AIC MILIMANI    - NAKURU,19CHRY6,19,6
CHOIR OF THE YEAR,P.A.G.     - LANET,19CHRY7,19,7
CHOIR OF THE YEAR,FRIENDS QUAKERS,19CHRY8,19,8
CHOIR OF THE YEAR,FRIENDS QUAKERS  - AFRAHA,19CHRY9,19,9
FEMALE ARTIST OF THE YEAR,TABBY NDI,20FARY1,20,1
FEMALE ARTIST OF THE YEAR,TERRY K.,20FARY2,20,2
FEMALE ARTIST OF THE YEAR,SHARON RETOE,20FARY3,20,3
FEMALE ARTIST OF THE YEAR,CHARITY NASHIPAI,20FARY4,20,4
FEMALE ARTIST OF THE YEAR,UNIQUE WANJIKU,20FARY5,20,5
FEMALE ARTIST OF THE YEAR,FAITH NDUHIU,20FARY6,20,6
FEMALE ARTIST OF THE YEAR,CAROL B.,20FARY7,20,7
FEMALE ARTIST OF THE YEAR,ROSE CHEBOI,20FARY8,20,8
FEMALE ARTIST OF THE YEAR,JOYNESS KILEO,20FARY9,20,9
FEMALE ARTIST OF THE YEAR,MARIAH SHIZ,20FARY10,20,10
FEMALE ARTIST OF THE YEAR,MIMAH SHAFFIE,20FARY11,20,11
FEMALE ARTIST OF THE YEAR,BETTY KIRAMATISHO,20FARY12,20,12
FEMALE ARTIST OF THE YEAR,EVELYN WANJIRU,20FARY13,20,13
MOST PROMISING ARTIST OF THE YEAR,SHADDUF MELODY,21MPARY1,21,1
MOST PROMISING ARTIST OF THE YEAR,TRESSY K.,21MPARY2,21,2
MOST PROMISING ARTIST OF THE YEAR,MIRIAM WANGUI,21MPARY3,21,3
MOST PROMISING ARTIST OF THE YEAR,KYOKO DEH,21MPARY4,21,4
MOST PROMISING ARTIST OF THE YEAR,G-NICE,21MPARY5,21,5
MOST PROMISING ARTIST OF THE YEAR,RUTH NDIEMA,21MPARY6,21,6
MOST PROMISING ARTIST OF THE YEAR,MIKE LEBO,21MPARY7,21,7
MOST PROMISING ARTIST OF THE YEAR,JACKIE MELLY,21MPARY8,21,8
MOST PROMISING ARTIST OF THE YEAR,MR. CHAIRMAN 254,21MPARY9,21,9
